Batch,Term,Domain,Subject
MBA-2024,Term-1,Finance,Financial Accounting
MBA-2024,Term-1,Finance,Managerial Economics
MBA-2024,Term-1,Finance,Corporate Finance
MBA-2024,Term-1,Marketing,Marketing Management
MBA-2024,Term-1,Marketing,Consumer Behavior
MBA-2024,Term-1,Marketing,Digital Marketing
MBA-2024,Term-1,Operations,Operations Management
MBA-2024,Term-1,Operations,Supply Chain Management
MBA-2024,Term-1,HR,Organizational Behavior
MBA-2024,Term-1,HR,Human Resource Management
MBA-2024,Term-1,Strategy,Business Strategy
MBA-2024,Term-1,Strategy,Strategic Management
MBA-2024,Term-2,Finance,Investment Analysis
MBA-2024,Term-2,Finance,Financial Markets
MBA-2024,Term-2,Marketing,Brand Management
MBA-2024,Term-2,Marketing,Sales Management
MBA-2024,Term-2,Operations,Project Management
MBA-2024,Term-2,Operations,Quality Management
MBA-2024,Term-2,HR,Talent Management
MBA-2024,Term-2,HR,Leadership Development
MBA-2024,Term-2,Analytics,Business Analytics
MBA-2024,Term-2,Analytics,Data Visualization
MBA-2025,Term-1,Finance,Financial Accounting
MBA-2025,Term-1,Finance,Managerial Economics
MBA-2025,Term-1,Marketing,Marketing Management
MBA-2025,Term-1,Marketing,Consumer Behavior
